#
# ROCS Version - 6.84
#
# Save/Restore:  REA_CM01_REA_BTS33_2016_07_20_201132_014N006_4000kV.set
#
# NOTE:  Save set with beam to end of line. Scaled from last
# NOTE:  75Ga26+ through BTS33. Second set of quads in S-Bend were
# NOTE:  decreased, as that save seems to have neglected this
# NOTE:  beneficial change in optics. Energy only measured with
# NOTE:  D1155 dipole, and D1296 field was set, but cavity was not
# NOTE:  re-adjusted. Beam does go through all apertures but the
# NOTE:  last two in BTS33. Dipoles NOT cycled. Object and Image of
# NOTE:  beam (D1256/D1316) NOT optimized. Goal was just to verify
# NOTE:  scaling with 75Ga26+ tune could get beam to the end OK.
# NOTE:  Transmission from L044 to L110 is ~69%, from L044 to D1420
# NOTE:  is ~55%.
# 
# BEAM:  Energy:  4000  keV/u
# BEAM:  Driver:  DBC
# 
# BEAM:  Current Monitor           Current       % Ratio      % Source    Units
# ____________________________________________________________________________________________
# 
# BEAM:  REA_BTS30:FC_D1256          185.0        Source        Source    picoAmps
# BEAM:  REA_BTS30:FC_D1316          170.0         91.89         91.89    picoAmps
# BEAM:  REA_BTS30:FC_D1355          170.0        100.00         91.89    picoAmps
# BEAM:  REA_BTS33:FC_D1420          162.0         95.29         87.57    picoAmps
# ____________________________________________________________________________________________
# ____________________________________________________________________________________________
# 
# SET CHANNEL                     SET VALUE     READCHANNEL                           READBACK
# ____________________________________________________________________________________________
# 
REA_BTS23:PSD_D1155:I_CSET          134.320     REA_BTS23:PSD_D1155:I_RD           133.9430000
REA_BTS25:PSQ_D1164:I_CSET           81.969     REA_BTS25:PSQ_D1164:I_RD            81.8510000
REA_BTS25:SLVCEN_D1166:POS_CSET       0.000     REA_BTS25:SLVCEN_D1166:POS_RD        0.0089354
REA_BTS25:SLVGAP_D1166:POS_CSET      40.000     REA_BTS25:SLVGAP_D1166:POS_RD       40.0043515
REA_BTS25:PSQ_D1169:I_CSET           96.613     REA_BTS25:PSQ_D1169:I_RD            96.6430000
REA_BTS25:PSCH_D1172:I_CSET           8.451     REA_BTS25:PSCH_D1172:I_RD            8.4289999
REA_BTS25:PSCV_D1172:I_CSET         -72.532     REA_BTS25:PSCV_D1172:I_RD          -72.6090012
REA_BTS25:PSQ_D1174:I_CSET           99.435     REA_BTS25:PSQ_D1174:I_RD            99.2550000
REA_BTS25:PSQ_D1181:I_CSET           99.435     REA_BTS25:PSQ_D1181:I_RD            99.3520000
REA_BTS25:PSQ_D1186:I_CSET           96.613     REA_BTS25:PSQ_D1186:I_RD            96.4350000
REA_BTS25:PSQ_D1192:I_CSET           81.969     REA_BTS25:PSQ_D1192:I_RD            81.8110000
REA_BTS25:PSD_D1200:I_CSET          133.332     REA_BTS25:PSD_D1200:I_RD           132.8860000
REA_BTS25:DD_D1207:POS_CSET          90.000     REA_BTS25:DD_D1207:POS_RD           90.0492603
REA_BTS30:PSC1_D1219:I_CSET           0.000     REA_BTS30:PSC1_D1219:I_RD            0.1300000
REA_BTS30:PSC2_D1219:I_CSET           0.000     REA_BTS30:PSC2_D1219:I_RD            0.1810000
REA_BTS30:PSQ_D1221:I_CSET           86.077     REA_BTS30:PSQ_D1221:I_RD            85.9650000
REA_BTS30:PSQ_D1228:I_CSET          -79.068     REA_BTS30:PSQ_D1228:I_RD           -78.8190000
REA_BTS30:PSQ_D1245:I_CSET           65.344     REA_BTS30:PSQ_D1245:I_RD            65.0830000
REA_BTS30:PSQ_D1252:I_CSET          -45.594     REA_BTS30:PSQ_D1252:I_RD           -45.5080000
REA_BTS30:SLHCEN_D1256:POS_CSET       0.000     REA_BTS30:SLHCEN_D1256:POS_RD        0.1367090
REA_BTS30:SLHGAP_D1256:POS_CSET      40.000     REA_BTS30:SLHGAP_D1256:POS_RD       40.2906554
REA_BTS30:SLVCEN_D1256:POS_CSET       0.000     REA_BTS30:SLVCEN_D1256:POS_RD       -0.0079303
REA_BTS30:SLVGAP_D1256:POS_CSET      40.000     REA_BTS30:SLVGAP_D1256:POS_RD       40.0089243
REA_BTS30:DD_D1256:POS_CSET          75.200     REA_BTS30:DD_D1256:POS_RD           75.0348745
REA_BTS30:PSC1_D1270:I_CSET           0.000     REA_BTS30:PSC1_D1270:I_RD            0.0850000
REA_BTS30:PSC2_D1270:I_CSET           0.000     REA_BTS30:PSC2_D1270:I_RD            0.1020000
REA_BTS30:PSQ_D1272:I_CSET           46.346     REA_BTS30:PSQ_D1272:I_RD            46.1840000
REA_BTS30:PSQ_D1275:I_CSET          -53.706     REA_BTS30:PSQ_D1275:I_RD           -53.5440000
